"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.3.1 Accidents (road)"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"215";"177";"178";"186";"171";"163";"193";"158";"129";"134";"169"
"Valkenberg";"26";"29";"26";"32";"31";"39";"34";"30";"20";"16";"22"
"Chasse";"57";"43";"37";"46";"38";"35";"33";"30";"34";"24";"41"
"Fellenoord";"14";"18";"11";"17";"8";"13";"8";"7";"8";"9";"7"
"Bark mill";"46";"44";"43";"24";"45";"34";"46";"37";"18";"31";"52"
"Station";"21";"15";"16";"22";"17";"16";"19";"15";"16";"16";"12"
"City";"51";"28";"45";"45";"32";"26";"53";"39";"33";"38";"35"
"Breda north";"197";"211";"186";"182";"177";"159";"207";"179";"194";"168";"198"
"Belcrum";"25";"20";"21";"24";"21";"17";"39";"24";"21";"27";"30"
"Doornbos Line";"35";"40";"32";"38";"31";"31";"39";"46";"33";"32";"46"
"Biesdonk";"60";"56";"48";"42";"51";"38";"44";"35";"59";"33";"57"
"Geeren South";"9";"18";"7";"13";"8";"13";"14";"13";"9";"16";"11"
"changer";"10";"19";"16";"8";"12";"15";"11";"13";"23";"11";"14"
"Caves";"46";"47";"53";"45";"46";"39";"47";"34";"46";"36";"33"
"Geeren-north";"10";"11";"8";"12";"7";"4";"10";"11";"3";"8";"7"
"Waterdonken";"2";"0";"1";"0";"1";"2";"3";"3";"0";"5";"0"
"Breda east";"186";"187";"182";"184";"178";"171";"180";"184";"151";"145";"153"
"Brabant Park";"67";"51";"49";"55";"57";"48";"48";"51";"48";"52";"55"
"Sports park";"52";"63";"72";"54";"54";"51";"41";"44";"32";"40";"35"
"Zandberg";"34";"42";"30";"27";"35";"28";"37";"47";"31";"21";"29"
"Heusdenhout";"20";"13";"16";"24";"15";"24";"28";"18";"14";"8";"17"
"Mill end east";"5";"6";"5";"11";"13";"11";"6";"10";"16";"10";"5"
"High end";"8";"12";"10";"13";"4";"9";"20";"14";"10";"14";"12"
"Breda south-east";"114";"128";"114";"140";"115";"113";"122";"125";"104";"107";"109"
"Blue Boulder";"47";"45";"29";"37";"27";"32";"21";"42";"25";"28";"22"
"Ypelaar";"16";"27";"33";"38";"27";"35";"46";"29";"27";"26";"28"
"Overakker";"8";"14";"9";"13";"10";"15";"12";"11";"10";"9";"10"
"Ginneken";"34";"35";"32";"39";"37";"25";"26";"27";"32";"36";"34"
"Mastbos";"9";"7";"11";"13";"14";"6";"17";"16";"10";"8";"15"
"Breda south";"60";"69";"66";"50";"44";"45";"44";"49";"33";"38";"46"
"Buoy lake";"40";"43";"45";"39";"36";"26";"32";"36";"19";"22";"28"
"Riders forest";"20";"26";"21";"11";"8";"19";"12";"13";"14";"16";"18"
"Breda west";"351";"358";"262";"299";"261";"260";"256";"251";"266";"242";"227"
"Haagpoort";"12";"14";"8";"10";"12";"8";"8";"6";"14";"13";"10"
"Hill";"32";"42";"43";"48";"28";"38";"36";"38";"39";"31";"48"
"Garden zigt";"74";"68";"35";"50";"57";"48";"37";"50";"53";"39";"37"
"Princenhage";"105";"78";"62";"53";"41";"32";"54";"45";"40";"42";"45"
"Westerpark";"16";"19";"16";"10";"8";"12";"15";"9";"13";"17";"10"
"healer";"47";"49";"44";"47";"59";"39";"36";"42";"40";"24";"26"
"Hazeldonk";"17";"22";"17";"27";"21";"25";"16";"21";"16";"26";"14"
"Stone field";"21";"44";"26";"42";"20";"36";"33";"26";"34";"25";"24"
"Effen-Rith";"10";"8";"7";"7";"3";"9";"7";"4";"6";"11";"4"
"Liesbos";"17";"14";"4";"5";"12";"13";"14";"10";"11";"14";"9"
"Breda north-west";"148";"147";"122";"136";"124";"103";"115";"116";"98";"104";"104"
"Gageldonk";"23";"17";"19";"21";"17";"9";"15";"20";"16";"21";"17"
"Lapwing run";"21";"17";"14";"18";"16";"13";"13";"15";"14";"15";"12"
"Kesteren";"25";"26";"17";"24";"15";"21";"13";"13";"12";"15";"14"
"Muizenberg";"11";"11";"7";"6";"10";"9";"7";"9";"6";"10";"7"
"Witch wheel";"23";"26";"15";"18";"19";"13";"19";"21";"8";"14";"15"
"overcropping";"5";"10";"7";"8";"6";"2";"3";"4";"7";"2";"3"
"crout";"6";"5";"7";"6";"4";"1";"2";"3";"5";"4";"5"
"Emer";"31";"32";"34";"34";"35";"35";"42";"30";"27";"23";"29"
"Hagebeemd";"3";"3";"2";"1";"2";"0";"1";"1";"3";"0";"2"
"Bavel";"37";"27";"30";"26";"38";"35";"23";"34";"31";"25";"28"
"Bavel";"29";"20";"21";"12";"25";"17";"11";"21";"17";"13";"9"
"New Wolfslaar";"3";"3";"7";"8";"3";"2";"5";"4";"5";"7";"4"
"Outside area Bavel";"5";"4";"2";"6";"10";"16";"7";"9";"9";"5";"15"
"Ulven wood";"24";"20";"18";"19";"25";"32";"25";"28";"18";"33";"18"
"Ulven wood";"17";"11";"14";"17";"15";"25";"20";"23";"15";"21";"10"
"Outer area of ​​Ulvenhout";"7";"9";"4";"2";"10";"7";"5";"5";"3";"12";"8"
"Prinsenbeek";"43";"60";"50";"41";"34";"43";"47";"38";"43";"35";"31"
"Prinsenbeek";"40";"52";"46";"32";"30";"38";"43";"33";"38";"28";"27"
"Outlying area Prinsenbeek";"3";"8";"4";"9";"4";"5";"4";"5";"5";"7";"4"
"Teterings";"18";"32";"27";"20";"25";"25";"25";"14";"26";"21";"27"
"Teterings";"16";"30";"27";"17";"25";"23";"23";"14";"23";"21";"25"
"Vechtpolder";"1";"2";"0";"2";"0";"0";"2";"0";"1";"0";"1"
"Outer area of ​​Teteringen";"1";"0";"0";"1";"0";"2";"0";"0";"2";"0";"1"
"Bron: Politie"
