"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 3.1.3 Arms Trade"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"19";"44";"23";"15";"19";"13";"14";"26";"19";"10";"18"
"Valkenberg";"2";"6";"5";"3";"3";"3";"3";"5";"8";"1";"0"
"Chasse";"2";"2";"0";"1";"2";"1";"1";"2";"4";"0";"4"
"Fellenoord";"2";"7";"6";"5";"2";"2";"2";"3";"1";"1";"0"
"Bark mill";"1";"5";"2";"1";"2";"2";"3";"2";"0";"4";"4"
"Station";"1";"8";"5";"0";"1";"2";"0";"3";"1";"0";"3"
"City";"11";"16";"5";"5";"9";"3";"5";"11";"5";"4";"7"
"Breda north";"8";"10";"3";"9";"10";"8";"10";"6";"11";"7";"17"
"Belcrum";"0";"3";"0";"1";"5";"4";"4";"0";"5";"2";"5"
"Doornbos Line";"3";"0";"0";"1";"1";"0";"1";"1";"0";"1";"4"
"Biesdonk";"0";"0";"1";"2";"2";"2";"2";"0";"3";"1";"2"
"Geeren South";"0";"3";"0";"2";"1";"1";"0";"1";"2";"0";"0"
"changer";"0";"1";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Caves";"4";"3";"1";"1";"0";"1";"2";"1";"0";"2";"4"
"Geeren-north";"1";"0";"1";"1";"1";"0";"1";"2";"1";"1";"2"
"Waterdonken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda east";"6";"6";"7";"6";"3";"4";"11";"3";"4";"4";"9"
"Brabant Park";"4";"4";"3";"2";"1";"0";"7";"2";"3";"3";"6"
"Sports park";"1";"0";"2";"0";"0";"2";"1";"0";"1";"1";"2"
"Zandberg";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Heusdenhout";"0";"0";"1";"3";"1";"2";"2";"0";"0";"0";"0"
"Mill end east";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"High end";"0";"1";"1";"0";"1";"0";"1";"0";"0";"0";"1"
"Breda south-east";"1";"3";"5";"2";"1";"0";"2";"6";"0";"2";"1"
"Blue Boulder";"1";"1";"1";"0";"0";"0";"0";"0";"0";"1";"0"
"Ypelaar";"0";"0";"2";"1";"1";"0";"1";"1";"0";"1";"1"
"Overakker";"0";"0";"1";"0";"0";"0";"1";"4";"0";"0";"0"
"Ginneken";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Mastbos";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"Breda south";"5";"3";"2";"3";"2";"6";"3";"3";"3";"6";"2"
"Buoy lake";"0";"0";"0";"1";"0";"2";"1";"2";"1";"1";"0"
"Riders forest";"5";"3";"2";"2";"2";"4";"2";"1";"2";"5";"2"
"Breda west";"25";"21";"18";"15";"15";"10";"22";"22";"16";"23";"16"
"Haagpoort";"1";"0";"0";"0";"2";"1";"0";"0";"1";"1";"1"
"Hill";"1";"3";"3";"3";"2";"2";"1";"8";"0";"4";"1"
"Garden zigt";"6";"1";"5";"3";"1";"2";"9";"4";"4";"4";"4"
"Princenhage";"4";"6";"1";"3";"5";"3";"4";"7";"1";"2";"0"
"Westerpark";"0";"0";"1";"2";"0";"1";"0";"0";"1";"0";"1"
"healer";"3";"0";"1";"1";"1";"0";"0";"0";"2";"0";"1"
"Hazeldonk";"5";"9";"4";"2";"2";"1";"4";"2";"5";"8";"7"
"Stone field";"1";"0";"0";"0";"1";"0";"1";"0";"0";"1";"1"
"Effen-Rith";"3";"2";"1";"1";"1";"0";"1";"1";"2";"0";"0"
"Liesbos";"1";"0";"2";"0";"0";"0";"2";"0";"0";"3";"0"
"Breda north-west";"7";"16";"14";"8";"13";"7";"9";"11";"18";"7";"20"
"Gageldonk";"1";"0";"0";"2";"2";"0";"2";"1";"1";"1";"2"
"Lapwing run";"0";"2";"1";"0";"1";"3";"0";"1";"1";"1";"3"
"Kesteren";"2";"3";"3";"1";"3";"0";"0";"0";"6";"1";"1"
"Muizenberg";"1";"0";"1";"0";"1";"1";"2";"0";"2";"1";"2"
"Witch wheel";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0"
"overcropping";"0";"1";"0";"1";"0";"1";"1";"1";"0";"0";"0"
"crout";"0";"0";"0";"1";"0";"0";"0";"1";"1";"0";"0"
"Emer";"2";"9";"8";"2";"5";"2";"3";"7";"5";"3";"12"
"Hagebeemd";"1";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0"
"Bavel";"1";"2";"1";"1";"0";"1";"3";"1";"1";"0";"1"
"Bavel";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0"
"New Wolfslaar";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"1"
"Outside area Bavel";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0"
"Ulven wood";"1";"0";"0";"1";"1";"1";"1";"1";"1";"1";"5"
"Ulven wood";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"2"
"Outer area of ​​Ulvenhout";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"3"
"Prinsenbeek";"0";"0";"2";"2";"1";"1";"1";"3";"2";"3";"0"
"Prinsenbeek";"0";"0";"1";"2";"1";"1";"0";"2";"1";"3";"0"
"Outlying area Prinsenbeek";"0";"0";"1";"0";"0";"0";"1";"1";"1";"0";"0"
"Teterings";"0";"1";"0";"2";"0";"1";"0";"2";"0";"1";"0"
"Teterings";"0";"1";"0";"2";"0";"0";"0";"2";"0";"0";"0"
"Vechtpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Outer area of ​​Teteringen";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Bron: Politie"
