"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 2.1.1 Drugs/drink nuisance"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"5";"1";"0";"0";"0";"1";"4";"1";"1";"1";"0"
"Valkenberg";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Chasse";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Fellenoord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bark mill";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Station";"0";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0"
"City";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Breda north";"2";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0"
"Belcrum";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Doornbos Line";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Biesdonk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Geeren South";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"changer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Caves";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Geeren-north";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Waterdonken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda east";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Brabant Park";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Sports park";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zandberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Heusdenhout";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Mill end east";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"High end";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda south-east";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Blue Boulder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ypelaar";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Overakker";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ginneken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Mastbos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Breda south";"2";"2";"0";"0";"0";"0";"0";"1";"2";"2";"0"
"Buoy lake";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Riders forest";"0";"2";"0";"0";"0";"0";"0";"1";"2";"2";"0"
"Breda west";"55";"9";"12";"6";"11";"18";"8";"4";"5";"8";"7"
"Haagpoort";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hill";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Garden zigt";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Princenhage";"3";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Westerpark";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"healer";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hazeldonk";"40";"6";"9";"5";"9";"15";"6";"4";"4";"7";"7"
"Stone field";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
"Effen-Rith";"10";"2";"0";"0";"0";"2";"1";"0";"0";"1";"0"
"Liesbos";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0"
"Breda north-west";"3";"2";"1";"0";"4";"2";"0";"1";"0";"2";"3"
"Gageldonk";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Lapwing run";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kesteren";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Muizenberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Witch wheel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"overcropping";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"crout";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Emer";"2";"1";"1";"0";"4";"2";"0";"1";"0";"2";"3"
