"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.4.2 Murder, Manslaughter"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"13";"8";"8";"9";"8";"13";"11";"13";"10";"6";"4"
"Valkenberg";"0";"4";"1";"3";"2";"0";"1";"4";"2";"1";"0"
"Chasse";"0";"0";"1";"0";"1";"0";"1";"0";"2";"0";"0"
"Fellenoord";"2";"0";"2";"0";"1";"3";"0";"0";"1";"0";"0"
"Bark mill";"5";"3";"2";"3";"2";"4";"8";"1";"0";"0";"1"
"Station";"3";"0";"0";"1";"0";"1";"0";"0";"1";"3";"1"
"City";"3";"1";"2";"2";"2";"5";"1";"8";"4";"2";"2"
"Breda north";"10";"6";"8";"10";"7";"4";"6";"11";"11";"6";"2"
"Belcrum";"0";"0";"2";"0";"0";"0";"1";"1";"1";"1";"0"
"Doornbos Line";"2";"2";"0";"0";"0";"1";"3";"2";"0";"0";"1"
"Biesdonk";"2";"0";"0";"7";"3";"0";"2";"2";"0";"0";"0"
"Geeren South";"0";"2";"2";"0";"0";"1";"0";"2";"3";"1";"0"
"changer";"1";"1";"1";"0";"1";"1";"0";"3";"2";"2";"0"
"Caves";"1";"1";"1";"0";"0";"1";"0";"1";"0";"2";"1"
"Geeren-north";"4";"0";"2";"0";"3";"0";"0";"0";"5";"0";"0"
"Waterdonken";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"Breda east";"7";"2";"4";"6";"1";"1";"0";"5";"4";"9";"7"
"Brabant Park";"4";"1";"3";"4";"0";"1";"0";"1";"2";"5";"1"
"Sports park";"2";"1";"0";"1";"1";"0";"0";"2";"0";"1";"0"
"Zandberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Heusdenhout";"1";"0";"1";"1";"0";"0";"0";"1";"2";"3";"4"
"Mill end east";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"High end";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2"
