"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.4.3 Open violence (person)"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"72";"61";"43";"31";"39";"37";"29";"35";"23";"18";"17"
"Valkenberg";"5";"4";"1";"1";"1";"6";"0";"3";"2";"2";"0"
"Chasse";"3";"3";"4";"0";"2";"2";"3";"1";"0";"1";"1"
"Fellenoord";"0";"0";"0";"2";"1";"1";"0";"0";"2";"0";"0"
"Bark mill";"5";"4";"4";"2";"4";"4";"1";"6";"1";"3";"0"
"Station";"5";"5";"1";"0";"0";"2";"0";"1";"2";"3";"1"
"City";"54";"45";"33";"26";"31";"22";"25";"24";"16";"9";"15"
"Breda north";"4";"5";"7";"7";"5";"8";"6";"3";"5";"12";"4"
"Belcrum";"0";"1";"2";"0";"3";"0";"2";"2";"1";"2";"0"
"Doornbos Line";"1";"1";"1";"2";"1";"2";"1";"0";"1";"1";"0"
"Biesdonk";"0";"1";"2";"2";"1";"3";"1";"0";"2";"3";"1"
"Geeren South";"1";"1";"1";"0";"0";"0";"0";"0";"1";"1";"1"
"changer";"1";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0"
"Caves";"1";"0";"0";"0";"0";"1";"1";"1";"0";"3";"1"
"Geeren-north";"0";"1";"1";"2";"0";"2";"0";"0";"0";"0";"1"
"Waterdonken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Breda east";"3";"3";"11";"7";"0";"0";"1";"3";"4";"0";"3"
"Brabant Park";"3";"1";"7";"3";"0";"0";"0";"3";"4";"0";"1"
"Sports park";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"1"
"Zandberg";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
"Heusdenhout";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Mill end east";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"High end";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0"
"Breda south-east";"6";"4";"1";"0";"0";"2";"1";"2";"1";"2";"3"
"Blue Boulder";"1";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0"
"Ypelaar";"1";"3";"0";"0";"0";"0";"0";"0";"0";"2";"0"
"Overakker";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Ginneken";"3";"1";"0";"0";"0";"1";"1";"0";"0";"0";"3"
"Mastbos";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Breda south";"2";"0";"1";"0";"0";"0";"1";"1";"0";"2";"1"
