"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.2.4 Pickpocketing"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"484";"600";"364";"382";"278";"273";"146";"204";"141";"64";"194"
"Valkenberg";"20";"17";"20";"17";"10";"14";"8";"22";"1";"2";"3"
"Chasse";"95";"132";"63";"73";"57";"51";"16";"9";"13";"6";"5"
"Fellenoord";"1";"1";"2";"0";"0";"1";"1";"0";"0";"0";"0"
"Bark mill";"14";"8";"10";"11";"10";"7";"3";"8";"3";"2";"5"
"Station";"47";"48";"35";"22";"10";"13";"16";"15";"9";"10";"44"
"City";"307";"394";"234";"259";"191";"187";"102";"150";"115";"44";"137"
"Breda north";"46";"36";"26";"49";"23";"32";"15";"17";"8";"7";"12"
"Belcrum";"5";"3";"4";"11";"4";"7";"7";"10";"2";"2";"5"
"Doornbos Line";"0";"0";"2";"3";"1";"1";"1";"1";"1";"0";"2"
"Biesdonk";"32";"25";"11";"25";"15";"22";"5";"1";"4";"3";"3"
"Geeren South";"0";"1";"1";"0";"1";"0";"0";"1";"0";"0";"0"
"changer";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0"
"Caves";"8";"5";"7";"9";"1";"2";"0";"3";"1";"2";"1"
"Geeren-north";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"1"
"Waterdonken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda east";"24";"24";"20";"18";"17";"14";"11";"22";"1";"2";"7"
"Brabant Park";"17";"5";"10";"8";"5";"4";"2";"2";"1";"1";"1"
"Sports park";"6";"8";"7";"3";"4";"3";"2";"4";"0";"1";"2"
"Zandberg";"1";"5";"1";"4";"1";"2";"3";"0";"0";"0";"1"
"Heusdenhout";"0";"6";"2";"3";"5";"2";"1";"0";"0";"0";"0"
"Mill end east";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"High end";"0";"0";"0";"0";"2";"3";"3";"16";"0";"0";"3"
"Breda south-east";"28";"28";"30";"23";"15";"12";"9";"7";"6";"8";"3"
"Blue Boulder";"5";"8";"6";"7";"0";"3";"1";"0";"1";"0";"0"
"Ypelaar";"11";"6";"13";"7";"3";"6";"5";"3";"5";"4";"1"
"Overakker";"1";"4";"3";"3";"5";"1";"1";"0";"0";"0";"1"
"Ginneken";"9";"9";"7";"6";"6";"2";"1";"1";"0";"3";"1"
"Mastbos";"2";"1";"1";"0";"1";"0";"1";"3";"0";"1";"0"
"Breda south";"5";"10";"4";"1";"7";"1";"1";"1";"0";"0";"1"
"Buoy lake";"4";"8";"3";"1";"5";"1";"1";"0";"0";"0";"1"
"Riders forest";"1";"2";"1";"0";"2";"0";"0";"1";"0";"0";"0"
"Breda west";"44";"52";"45";"43";"52";"23";"16";"15";"11";"5";"9"
"Haagpoort";"0";"0";"0";"0";"0";"2";"0";"3";"0";"1";"2"
"Hill";"1";"3";"4";"6";"14";"3";"2";"3";"1";"1";"2"
"Garden zigt";"8";"13";"3";"4";"11";"3";"2";"1";"2";"0";"1"
"Princenhage";"8";"7";"6";"3";"4";"1";"2";"1";"0";"2";"1"
"Westerpark";"0";"1";"3";"1";"4";"0";"0";"0";"0";"0";"1"
"healer";"11";"13";"14";"9";"10";"4";"4";"4";"2";"0";"1"
"Hazeldonk";"13";"8";"6";"5";"3";"3";"2";"2";"2";"0";"1"
"Stone field";"2";"5";"8";"15";"5";"6";"3";"1";"4";"1";"0"
"Effen-Rith";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0"
"Liesbos";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda north-west";"18";"18";"11";"9";"6";"6";"2";"3";"3";"2";"1"
"Gageldonk";"0";"3";"1";"2";"0";"1";"0";"0";"0";"0";"0"
"Lapwing run";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Kesteren";"0";"1";"2";"1";"2";"0";"1";"1";"1";"1";"0"
"Muizenberg";"1";"3";"2";"1";"0";"1";"0";"1";"0";"0";"0"
"Witch wheel";"10";"5";"3";"4";"3";"1";"0";"0";"2";"1";"1"
"overcropping";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"crout";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Emer";"2";"4";"1";"1";"1";"2";"1";"0";"0";"0";"0"
"Hagebeemd";"3";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0"
"Bavel";"3";"2";"3";"0";"1";"1";"0";"3";"0";"0";"6"
