"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.4.7 Robbery"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"3";"4";"2";"6";"0";"3";"2";"0";"0";"0";"3"
"Valkenberg";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Chasse";"0";"1";"1";"1";"0";"1";"0";"0";"0";"0";"0"
"Fellenoord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Bark mill";"2";"2";"0";"1";"0";"0";"1";"0";"0";"0";"1"
"Station";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"City";"0";"1";"0";"2";"0";"1";"1";"0";"0";"0";"1"
"Breda north";"2";"3";"3";"4";"5";"3";"0";"0";"0";"0";"3"
"Belcrum";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Doornbos Line";"1";"2";"0";"3";"1";"1";"0";"0";"0";"0";"0"
"Biesdonk";"0";"0";"2";"1";"2";"0";"0";"0";"0";"0";"1"
"Geeren South";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1"
"changer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Caves";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Geeren-north";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1"
"Waterdonken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda east";"8";"2";"1";"5";"2";"2";"2";"3";"1";"0";"0"
"Brabant Park";"5";"1";"1";"2";"1";"0";"1";"0";"0";"0";"0"
"Sports park";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Zandberg";"1";"1";"0";"2";"1";"1";"0";"2";"1";"0";"0"
"Heusdenhout";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0"
"Mill end east";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"High end";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Breda south-east";"0";"1";"0";"5";"0";"0";"1";"0";"2";"0";"0"
"Blue Boulder";"0";"1";"0";"5";"0";"0";"0";"0";"0";"0";"0"
"Ypelaar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Overakker";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Ginneken";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Mastbos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda south";"0";"1";"3";"2";"1";"2";"1";"0";"1";"0";"0"
"Buoy lake";"0";"0";"3";"2";"0";"2";"1";"0";"0";"0";"0"
"Riders forest";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"Breda west";"9";"4";"3";"6";"4";"1";"3";"1";"0";"2";"1"
"Haagpoort";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0"
