"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.4.6 Street robbery"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"40";"28";"22";"14";"16";"14";"13";"12";"7";"4";"6"
"Valkenberg";"5";"7";"7";"0";"1";"0";"1";"2";"4";"0";"1"
"Chasse";"10";"3";"1";"5";"1";"1";"2";"1";"1";"0";"2"
"Fellenoord";"2";"2";"1";"1";"0";"2";"1";"1";"0";"0";"0"
"Bark mill";"7";"4";"4";"1";"2";"5";"1";"2";"0";"0";"1"
"Station";"7";"3";"2";"2";"4";"1";"2";"1";"2";"1";"0"
"City";"9";"9";"7";"5";"8";"5";"6";"5";"0";"3";"2"
"Breda north";"17";"9";"11";"8";"4";"7";"3";"10";"2";"2";"5"
"Belcrum";"0";"2";"2";"0";"1";"0";"0";"1";"2";"1";"1"
"Doornbos Line";"6";"3";"2";"3";"1";"2";"0";"3";"0";"1";"0"
"Biesdonk";"6";"1";"3";"3";"0";"2";"2";"4";"0";"0";"2"
"Geeren South";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"changer";"3";"1";"4";"0";"1";"1";"1";"0";"0";"0";"1"
"Caves";"0";"2";"0";"1";"0";"1";"0";"1";"0";"0";"1"
"Geeren-north";"2";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0"
"Waterdonken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda east";"20";"12";"3";"8";"2";"3";"4";"5";"3";"3";"3"
"Brabant Park";"6";"3";"2";"3";"0";"2";"1";"2";"1";"2";"1"
"Sports park";"7";"3";"1";"3";"1";"0";"2";"1";"1";"1";"1"
"Zandberg";"3";"3";"0";"2";"1";"1";"1";"1";"1";"0";"0"
"Heusdenhout";"4";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Mill end east";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"High end";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Breda south-east";"1";"4";"3";"1";"0";"2";"0";"2";"2";"1";"0"
"Blue Boulder";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Ypelaar";"0";"3";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Overakker";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ginneken";"1";"1";"1";"0";"0";"0";"0";"1";"0";"1";"0"
"Mastbos";"0";"0";"2";"0";"0";"1";"0";"1";"1";"0";"0"
"Breda south";"3";"3";"0";"1";"1";"0";"0";"0";"1";"1";"0"
"Buoy lake";"3";"3";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Riders forest";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0"
"Breda west";"11";"18";"5";"15";"9";"5";"5";"5";"8";"4";"4"
"Haagpoort";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"2"
"Hill";"1";"5";"1";"4";"2";"1";"0";"1";"1";"0";"0"
"Garden zigt";"5";"6";"3";"9";"2";"2";"5";"2";"3";"2";"0"
"Princenhage";"3";"1";"1";"2";"1";"1";"0";"1";"0";"0";"2"
"Westerpark";"1";"1";"0";"0";"2";"0";"0";"0";"1";"0";"0"
"healer";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0"
"Hazeldonk";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Stone field";"1";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Effen-Rith";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Liesbos";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Breda north-west";"7";"9";"7";"0";"7";"3";"5";"0";"2";"0";"0"
"Gageldonk";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Lapwing run";"1";"2";"1";"0";"1";"0";"2";"0";"0";"0";"0"
"Kesteren";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Muizenberg";"2";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Witch wheel";"0";"0";"1";"0";"2";"0";"1";"0";"2";"0";"0"
