"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 3.5.2 Under the influence (road)"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"43";"56";"60";"28";"28";"32";"37";"43";"46";"46";"126"
"Valkenberg";"2";"9";"15";"3";"3";"4";"2";"5";"9";"7";"13"
"Chasse";"7";"11";"17";"9";"5";"10";"6";"7";"9";"11";"27"
"Fellenoord";"1";"6";"3";"2";"5";"1";"2";"4";"1";"4";"12"
"Bark mill";"12";"14";"5";"4";"10";"8";"5";"10";"13";"5";"30"
"Station";"13";"9";"14";"3";"2";"1";"8";"5";"4";"7";"22"
"City";"8";"7";"6";"7";"3";"8";"14";"12";"10";"12";"22"
"Breda north";"28";"53";"29";"19";"25";"22";"28";"29";"26";"38";"50"
"Belcrum";"3";"24";"13";"6";"10";"8";"6";"4";"3";"8";"12"
"Doornbos Line";"6";"13";"6";"11";"6";"7";"10";"10";"6";"12";"11"
"Biesdonk";"6";"3";"3";"0";"1";"2";"0";"4";"5";"3";"5"
"Geeren South";"1";"3";"1";"0";"1";"0";"1";"1";"3";"2";"3"
"changer";"0";"3";"0";"0";"1";"2";"1";"2";"2";"5";"3"
"Caves";"11";"5";"5";"2";"5";"3";"9";"8";"6";"8";"14"
"Geeren-north";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"2"
"Waterdonken";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0"
"Breda east";"57";"65";"54";"14";"25";"58";"35";"41";"30";"24";"58"
"Brabant Park";"22";"14";"12";"3";"6";"19";"9";"6";"5";"4";"7"
"Sports park";"29";"41";"24";"8";"11";"22";"18";"19";"9";"8";"32"
"Zandberg";"2";"4";"11";"3";"6";"13";"1";"4";"7";"4";"7"
"Heusdenhout";"1";"3";"2";"0";"1";"1";"3";"7";"3";"3";"4"
"Mill end east";"2";"1";"4";"0";"1";"2";"0";"5";"1";"4";"1"
"High end";"1";"2";"1";"0";"0";"1";"4";"0";"5";"1";"7"
"Breda south-east";"31";"16";"17";"23";"25";"15";"18";"23";"13";"18";"28"
"Blue Boulder";"11";"4";"7";"1";"9";"5";"6";"10";"1";"0";"4"
"Ypelaar";"2";"1";"1";"1";"5";"2";"1";"0";"2";"3";"4"
"Overakker";"0";"0";"1";"0";"1";"0";"2";"0";"1";"1";"1"
"Ginneken";"13";"7";"4";"15";"6";"2";"6";"6";"7";"3";"7"
"Mastbos";"5";"4";"4";"6";"4";"6";"3";"7";"2";"11";"12"
"Breda south";"27";"13";"24";"5";"5";"5";"8";"11";"24";"26";"25"
"Buoy lake";"8";"9";"5";"3";"1";"2";"5";"2";"8";"2";"7"
"Riders forest";"19";"4";"19";"2";"4";"3";"3";"9";"16";"24";"18"
"Breda west";"124";"93";"65";"34";"35";"59";"54";"77";"60";"123";"140"
"Haagpoort";"3";"1";"1";"0";"1";"1";"1";"5";"1";"4";"8"
"Hill";"3";"2";"6";"4";"2";"6";"2";"3";"4";"6";"8"
"Garden zigt";"62";"52";"21";"13";"13";"18";"11";"34";"12";"19";"42"
"Princenhage";"16";"16";"15";"3";"9";"9";"12";"9";"10";"15";"20"
"Westerpark";"11";"1";"1";"0";"0";"2";"1";"3";"0";"1";"4"
"healer";"3";"1";"3";"3";"1";"5";"1";"2";"0";"0";"4"
"Hazeldonk";"5";"4";"6";"5";"3";"5";"8";"12";"22";"58";"32"
"Stone field";"1";"7";"1";"1";"1";"1";"6";"3";"1";"2";"2"
"Effen-Rith";"16";"4";"8";"3";"4";"7";"7";"3";"8";"12";"9"
"Liesbos";"4";"5";"3";"2";"1";"5";"5";"3";"2";"6";"11"
"Breda north-west";"55";"42";"41";"37";"20";"32";"56";"56";"44";"68";"80"
"Gageldonk";"1";"0";"0";"1";"1";"0";"4";"2";"1";"4";"4"
"Lapwing run";"10";"2";"6";"5";"2";"3";"4";"1";"1";"5";"8"
"Kesteren";"6";"6";"4";"3";"2";"3";"5";"3";"3";"7";"5"
"Muizenberg";"0";"0";"1";"0";"0";"0";"0";"2";"1";"0";"1"
"Witch wheel";"2";"1";"2";"1";"1";"0";"0";"0";"0";"0";"4"
"overcropping";"0";"1";"0";"0";"0";"1";"0";"0";"1";"1";"0"
"crout";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
"Emer";"35";"32";"27";"26";"14";"25";"43";"48";"37";"48";"58"
"Hagebeemd";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0"
"Bavel";"3";"1";"3";"5";"2";"5";"4";"10";"5";"2";"12"
"Bavel";"0";"0";"2";"1";"1";"1";"0";"3";"2";"1";"0"
"New Wolfslaar";"1";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1"
"Outside area Bavel";"2";"1";"1";"4";"1";"4";"4";"5";"2";"1";"11"
"Ulven wood";"9";"4";"7";"4";"6";"8";"7";"5";"12";"22";"10"
"Ulven wood";"4";"3";"2";"3";"2";"3";"0";"0";"2";"1";"2"
"Outer area of ​​Ulvenhout";"5";"1";"5";"1";"4";"5";"7";"5";"10";"21";"8"
"Prinsenbeek";"3";"11";"12";"9";"5";"8";"8";"8";"22";"21";"30"
"Prinsenbeek";"2";"9";"8";"5";"3";"2";"4";"5";"11";"13";"24"
"Outlying area Prinsenbeek";"1";"2";"4";"4";"2";"6";"4";"3";"11";"8";"6"
"Teterings";"3";"0";"5";"3";"2";"5";"2";"9";"4";"2";"7"
"Teterings";"3";"0";"5";"2";"1";"5";"2";"8";"3";"2";"5"
"Vechtpolder";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"2"
"Outer area of ​​Teteringen";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Bron: Politie"
