"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 3.1.1 Drug trafficking"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"112";"120";"112";"100";"105";"109";"52";"72";"37";"32";"34"
"Valkenberg";"17";"19";"18";"3";"19";"9";"6";"7";"15";"3";"6"
"Chasse";"6";"6";"5";"4";"4";"5";"1";"1";"0";"8";"6"
"Fellenoord";"6";"4";"4";"3";"7";"10";"3";"6";"0";"1";"0"
"Bark mill";"6";"7";"9";"7";"8";"9";"14";"7";"5";"11";"6"
"Station";"11";"10";"4";"6";"6";"5";"6";"33";"5";"1";"7"
"City";"66";"74";"72";"77";"61";"71";"22";"18";"12";"8";"9"
"Breda north";"43";"36";"27";"19";"26";"28";"40";"33";"57";"36";"36"
"Belcrum";"8";"7";"2";"2";"3";"4";"10";"16";"9";"8";"7"
"Doornbos Line";"7";"11";"4";"4";"4";"7";"8";"7";"11";"6";"4"
"Biesdonk";"5";"6";"6";"5";"5";"4";"4";"4";"11";"2";"6"
"Geeren South";"2";"5";"3";"0";"3";"0";"2";"2";"3";"2";"6"
"changer";"7";"3";"2";"3";"5";"1";"4";"3";"7";"3";"3"
"Caves";"9";"3";"7";"4";"3";"8";"11";"1";"8";"13";"6"
"Geeren-north";"5";"1";"3";"1";"3";"4";"1";"0";"8";"2";"4"
"Waterdonken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda east";"14";"31";"24";"13";"17";"42";"23";"26";"21";"17";"14"
"Brabant Park";"6";"15";"7";"6";"7";"6";"7";"6";"12";"4";"7"
"Sports park";"6";"6";"1";"2";"3";"4";"3";"3";"3";"3";"3"
"Zandberg";"1";"2";"5";"0";"1";"2";"0";"1";"0";"2";"0"
"Heusdenhout";"0";"2";"3";"3";"1";"1";"1";"4";"3";"4";"1"
"Mill end east";"1";"4";"0";"1";"4";"0";"0";"2";"2";"2";"2"
"High end";"0";"2";"8";"1";"1";"29";"12";"10";"1";"2";"1"
"Breda south-east";"5";"5";"7";"13";"12";"10";"11";"11";"10";"8";"8"
"Blue Boulder";"3";"1";"2";"1";"2";"2";"1";"1";"1";"1";"0"
"Ypelaar";"0";"1";"2";"1";"3";"2";"0";"4";"3";"2";"2"
