"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.6.1 Fire/Explosion"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"6";"3";"7";"4";"2";"10";"3";"1";"10";"5";"10"
"Valkenberg";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0"
"Chasse";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4"
"Fellenoord";"0";"1";"2";"1";"0";"5";"0";"0";"5";"1";"1"
"Bark mill";"2";"1";"3";"3";"1";"2";"1";"0";"2";"1";"3"
"Station";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"City";"4";"1";"2";"0";"1";"3";"1";"1";"1";"2";"2"
"Breda north";"8";"9";"8";"3";"8";"6";"7";"9";"17";"6";"11"
"Belcrum";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0"
"Doornbos Line";"3";"1";"3";"0";"1";"1";"0";"1";"1";"3";"3"
"Biesdonk";"3";"4";"1";"0";"6";"1";"2";"1";"2";"0";"3"
"Geeren South";"1";"1";"0";"0";"0";"0";"2";"5";"4";"2";"3"
"changer";"0";"1";"0";"0";"1";"2";"2";"0";"5";"0";"0"
"Caves";"0";"1";"2";"2";"0";"0";"0";"1";"1";"1";"2"
"Geeren-north";"0";"1";"1";"1";"0";"1";"1";"1";"1";"0";"0"
"Waterdonken";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
"Breda east";"6";"8";"8";"4";"3";"9";"2";"4";"12";"4";"8"
"Brabant Park";"4";"4";"5";"0";"3";"7";"0";"1";"7";"3";"4"
"Sports park";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1"
"Zandberg";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1"
"Heusdenhout";"2";"4";"3";"3";"0";"0";"0";"2";"4";"1";"2"
"Mill end east";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"High end";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0"
"Breda south-east";"6";"4";"3";"1";"1";"1";"3";"0";"13";"2";"0"
