"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 2.6.9 Fireworks"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"0";"0";"1";"0";"0";"1";"2";"1";"0";"2";"0"
"Valkenberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Chasse";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Fellenoord";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bark mill";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Station";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"City";"0";"0";"1";"0";"0";"0";"2";"1";"0";"1";"0"
"Breda north";"0";"0";"1";"1";"1";"0";"1";"2";"2";"0";"0"
"Belcrum";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Doornbos Line";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0"
"Biesdonk";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"Geeren South";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"changer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Caves";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Geeren-north";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Waterdonken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda east";"0";"0";"0";"2";"0";"3";"0";"1";"3";"1";"0"
"Brabant Park";"0";"0";"0";"1";"0";"1";"0";"1";"1";"1";"0"
"Sports park";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
"Zandberg";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Heusdenhout";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Mill end east";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"High end";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"Breda south-east";"0";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0"
"Blue Boulder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Ypelaar";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Overakker";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Ginneken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Mastbos";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda south";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Buoy lake";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Riders forest";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
"Breda west";"1";"1";"2";"3";"0";"0";"3";"4";"2";"1";"1"
"Haagpoort";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hill";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0"
"Garden zigt";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1"
"Princenhage";"1";"0";"2";"2";"0";"0";"0";"1";"1";"1";"0"
"Westerpark";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"healer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Hazeldonk";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Stone field";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Effen-Rith";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Liesbos";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
"Breda north-west";"1";"2";"1";"1";"0";"3";"2";"1";"2";"3";"6"
"Gageldonk";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
"Lapwing run";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
"Kesteren";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0"
"Muizenberg";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Witch wheel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"overcropping";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"crout";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"Emer";"1";"2";"0";"0";"0";"1";"0";"0";"1";"2";"5"
"Hagebeemd";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bavel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bavel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"New Wolfslaar";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outside area Bavel";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Ulven wood";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"Ulven wood";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Ulvenhout";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
"Prinsenbeek";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Prinsenbeek";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0"
"Outlying area Prinsenbeek";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Teterings";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Teterings";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Vechtpolder";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Outer area of ​​Teteringen";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Bron: Politie"
