"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 2.5.2 Shoplifting"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"279";"271";"275";"240";"204";"172";"196";"210";"147";"110";"153"
"Valkenberg";"1";"1";"0";"1";"0";"0";"2";"1";"2";"1";"4"
"Chasse";"55";"70";"71";"70";"67";"72";"58";"69";"63";"26";"48"
"Fellenoord";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
"Bark mill";"25";"29";"15";"9";"11";"14";"20";"21";"13";"8";"7"
"Station";"13";"4";"6";"3";"7";"5";"6";"8";"3";"7";"6"
"City";"184";"167";"183";"157";"119";"80";"110";"111";"66";"68";"88"
"Breda north";"187";"161";"167";"175";"167";"123";"145";"156";"184";"198";"214"
"Belcrum";"23";"18";"26";"58";"44";"18";"20";"22";"19";"22";"16"
"Doornbos Line";"4";"5";"5";"3";"4";"8";"7";"12";"2";"9";"10"
"Biesdonk";"35";"26";"33";"35";"56";"46";"56";"77";"108";"123";"146"
"Geeren South";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"changer";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Caves";"125";"112";"102";"79";"63";"51";"62";"45";"55";"43";"42"
"Geeren-north";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
"Waterdonken";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"Breda east";"22";"55";"79";"79";"43";"28";"40";"46";"42";"45";"44"
"Brabant Park";"15";"40";"67";"63";"27";"13";"23";"24";"23";"36";"28"
"Sports park";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Zandberg";"3";"13";"10";"13";"8";"4";"7";"7";"9";"5";"9"
"Heusdenhout";"4";"1";"1";"3";"4";"7";"7";"11";"9";"4";"3"
"Mill end east";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
"High end";"0";"0";"0";"0";"4";"4";"3";"3";"0";"0";"3"
