"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: Total felonies"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"4453";"4120";"3975";"3445";"3226";"2884";"2413";"2673";"2118";"1785";"2850"
"Valkenberg";"356";"324";"385";"353";"348";"282";"233";"270";"234";"182";"213"
"Chasse";"687";"634";"612";"547";"530";"493";"375";"362";"353";"298";"466"
"Fellenoord";"201";"178";"209";"162";"131";"129";"95";"104";"94";"103";"131"
"Bark mill";"462";"410";"407";"365";"362";"342";"343";"316";"276";"262";"388"
"Station";"572";"474";"529";"324";"372";"350";"325";"410";"298";"311";"461"
"City";"2175";"2100";"1833";"1694";"1483";"1288";"1042";"1211";"863";"629";"1191"
"Breda north";"2013";"1844";"1798";"1813";"1758";"1541";"1578";"1645";"1838";"1676";"1765"
"Belcrum";"277";"234";"283";"313";"378";"300";"317";"329";"347";"330";"385"
"Doornbos Line";"393";"368";"264";"288";"280";"297";"265";"286";"286";"262";"290"
"Biesdonk";"470";"402";"417";"471";"391";"301";"313";"339";"424";"376";"408"
"Geeren South";"147";"161";"165";"152";"141";"136";"142";"161";"166";"174";"127"
"changer";"166";"164";"153";"150";"165";"129";"128";"144";"170";"145";"126"
"Caves";"369";"370";"359";"286";"265";"253";"288";"239";"279";"258";"298"
"Geeren-north";"149";"121";"127";"109";"99";"93";"90";"129";"131";"104";"110"
"Waterdonken";"42";"24";"30";"44";"39";"32";"35";"18";"35";"27";"21"
"Breda east";"1787";"1651";"1526";"1471";"1396";"1237";"1190";"1197";"1188";"1115";"1179"
"Brabant Park";"746";"618";"611";"581";"511";"445";"423";"452";"479";"466";"432"
"Sports park";"338";"382";"362";"299";"297";"231";"216";"208";"197";"189";"230"
"Zandberg";"379";"353";"311";"321";"318";"258";"237";"268";"241";"196";"213"
"Heusdenhout";"233";"200";"168";"205";"181";"168";"185";"163";"174";"160";"199"
