"Geregistreerde misdrijven; soort misdrijf, wijk, buurt, jaarcijfers"
"Type of crime: 1.1.1 Home theft/burglary"
"Subject: |Recorded Crimes"
"";"Periods"
"";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Districts and neighbourhoods";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number";"number"
"Breda center";"86";"79";"62";"59";"55";"56";"38";"42";"29";"24";"23"
"Valkenberg";"8";"4";"10";"7";"8";"12";"8";"6";"2";"4";"4"
"Chasse";"13";"18";"8";"11";"13";"14";"5";"6";"0";"3";"5"
"Fellenoord";"18";"24";"10";"15";"7";"4";"5";"7";"8";"3";"4"
"Bark mill";"13";"16";"12";"14";"12";"9";"8";"8";"7";"5";"3"
"Station";"16";"9";"9";"7";"8";"6";"7";"5";"4";"1";"3"
"City";"18";"8";"13";"5";"7";"11";"5";"10";"8";"8";"4"
"Breda north";"169";"161";"85";"78";"95";"84";"68";"66";"81";"51";"46"
"Belcrum";"31";"30";"13";"10";"15";"9";"11";"9";"7";"8";"10"
"Doornbos Line";"50";"41";"17";"22";"25";"25";"17";"11";"25";"9";"10"
"Biesdonk";"34";"25";"17";"15";"11";"17";"11";"15";"10";"8";"5"
"Geeren South";"26";"21";"14";"9";"18";"14";"9";"7";"11";"14";"3"
"changer";"10";"21";"6";"11";"9";"8";"11";"10";"20";"7";"10"
"Caves";"1";"5";"7";"3";"0";"1";"2";"1";"1";"0";"2"
"Geeren-north";"11";"17";"10";"5";"8";"8";"5";"13";"6";"5";"4"
"Waterdonken";"6";"1";"1";"3";"9";"2";"2";"0";"1";"0";"2"
"Breda east";"175";"221";"115";"119";"90";"94";"83";"61";"58";"40";"37"
"Brabant Park";"91";"102";"52";"40";"25";"48";"41";"32";"22";"27";"13"
"Sports park";"19";"36";"22";"16";"18";"13";"12";"8";"10";"3";"7"
"Zandberg";"37";"52";"30";"48";"35";"26";"17";"12";"17";"8";"13"
"Heusdenhout";"27";"30";"10";"13";"10";"5";"13";"9";"9";"1";"4"
"Mill end east";"1";"0";"0";"1";"2";"2";"0";"0";"0";"1";"0"
"High end";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"Breda south-east";"111";"131";"127";"102";"72";"87";"74";"69";"65";"30";"24"
"Blue Boulder";"17";"26";"15";"20";"9";"15";"12";"14";"15";"6";"11"
"Ypelaar";"37";"30";"30";"19";"22";"26";"26";"29";"25";"12";"4"
"Overakker";"26";"34";"24";"12";"11";"18";"11";"12";"7";"4";"4"
"Ginneken";"24";"38";"45";"46";"26";"23";"22";"11";"16";"7";"5"
"Mastbos";"7";"3";"13";"5";"4";"5";"3";"3";"2";"1";"0"
"Breda south";"108";"123";"81";"59";"39";"37";"51";"38";"31";"18";"22"
"Buoy lake";"80";"80";"50";"32";"30";"29";"30";"24";"17";"4";"10"
"Riders forest";"28";"43";"31";"27";"9";"8";"21";"14";"14";"14";"12"
"Breda west";"317";"259";"174";"145";"101";"108";"105";"92";"81";"55";"53"
"Haagpoort";"12";"29";"14";"10";"8";"8";"8";"7";"6";"4";"4"
"Hill";"94";"51";"52";"29";"24";"26";"31";"22";"25";"17";"10"
"Garden zigt";"35";"50";"32";"35";"25";"31";"12";"19";"16";"15";"15"
"Princenhage";"130";"83";"41";"32";"30";"24";"29";"26";"22";"9";"13"
"Westerpark";"21";"16";"22";"23";"7";"5";"7";"6";"3";"6";"6"
"healer";"9";"6";"2";"3";"3";"0";"8";"5";"5";"1";"0"
"Hazeldonk";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1"
"Stone field";"2";"2";"2";"4";"2";"2";"2";"2";"1";"0";"1"
"Effen-Rith";"10";"8";"8";"4";"2";"8";"4";"2";"1";"1";"2"
"Liesbos";"4";"11";"1";"5";"0";"4";"4";"3";"2";"2";"1"
"Breda north-west";"195";"163";"149";"82";"81";"90";"43";"35";"31";"29";"22"
"Gageldonk";"31";"27";"33";"20";"17";"19";"11";"5";"6";"9";"3"
"Lapwing run";"60";"35";"29";"11";"9";"22";"2";"5";"3";"4";"2"
"Kesteren";"26";"29";"39";"18";"16";"13";"6";"5";"2";"7";"4"
"Muizenberg";"19";"31";"22";"14";"8";"6";"4";"7";"5";"2";"2"
"Witch wheel";"22";"30";"20";"6";"19";"11";"10";"4";"5";"2";"8"
"overcropping";"27";"9";"4";"8";"9";"8";"6";"5";"7";"2";"1"
"crout";"8";"1";"1";"4";"3";"7";"4";"2";"3";"3";"0"
"Emer";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
"Hagebeemd";"2";"1";"0";"1";"0";"4";"0";"1";"0";"0";"2"
"Bavel";"70";"84";"39";"31";"32";"28";"38";"16";"17";"9";"25"
"Bavel";"52";"66";"27";"25";"25";"24";"30";"13";"17";"8";"22"
